Model: densenet201
Image shape: (224, 224, 3)
Batch size: 16
Dataset: /app/data/Datasets/augmented_trash_and_other
Number of classes: 2

Epoch,Accuracy,Validation Accuracy, Loss, Validation Loss
1,0.5795454382896423,0.6735293865203857,0.7059674263000488,0.6000901460647583
2,0.7159090638160706,0.7607843279838562,0.5527088642120361,0.5263873934745789
3,0.7670454382896423,0.8029412031173706,0.5197482705116272,0.4816710352897644
4,0.7976190447807312,0.8156862854957581,0.46338045597076416,0.4515361487865448
5,0.8636363744735718,0.8078431487083435,0.4085618257522583,0.4384051561355591
6,0.8181818127632141,0.8343137502670288,0.46608400344848633,0.40861982107162476
7,0.7954545617103577,0.7960784435272217,0.44404909014701843,0.44894397258758545
8,0.7840909361839294,0.8294117450714111,0.48415449261665344,0.41754698753356934
9,0.7784090638160706,0.8509804010391235,0.45775747299194336,0.39256900548934937
10,0.7556818127632141,0.865686297416687,0.49431851506233215,0.36293360590934753
11,0.875,0.8539215922355652,0.35761481523513794,0.37704434990882874
12,0.8068181872367859,0.8705882430076599,0.4190588891506195,0.3469555377960205
13,0.8465909361839294,0.8803921341896057,0.36813709139823914,0.33167383074760437
14,0.8806818127632141,0.8627451062202454,0.34411752223968506,0.35825783014297485
15,0.8295454382896423,0.8911764621734619,0.3491663336753845,0.3157973289489746
16,0.8693181872367859,0.8931372761726379,0.31420275568962097,0.3100876808166504
17,0.875,0.8892157077789307,0.3205966651439667,0.3064481019973755
18,0.7916666865348816,0.8931372761726379,0.4270903170108795,0.3069162964820862
19,0.8977272510528564,0.8931372761726379,0.28720709681510925,0.2984176576137543
20,0.8352272510528564,0.8901960849761963,0.354428768157959,0.29586589336395264
21,0.8522727489471436,0.9039215445518494,0.3424215316772461,0.28619056940078735
22,0.875,0.9049019813537598,0.33905377984046936,0.2835271954536438
23,0.9318181872367859,0.884313702583313,0.2450525164604187,0.3012264668941498
24,0.8920454382896423,0.9049019813537598,0.26159822940826416,0.27790534496307373
25,0.8806818127632141,0.908823549747467,0.3098251521587372,0.27317261695861816
26,0.8693181872367859,0.8617647290229797,0.34426453709602356,0.34410086274147034
27,0.875,0.8921568393707275,0.3159520924091339,0.2984626293182373
28,0.8806818127632141,0.8970588445663452,0.2728692293167114,0.28381770849227905
29,0.8579545617103577,0.9127451181411743,0.34337136149406433,0.26320111751556396
30,0.8806818127632141,0.9215686321258545,0.2866656482219696,0.25303229689598083
31,0.9034090638160706,0.9205882549285889,0.2706587016582489,0.2538706362247467
32,0.9034090638160706,0.9166666865348816,0.28255710005760193,0.248195081949234
33,0.9204545617103577,0.9049019813537598,0.20565319061279297,0.26133912801742554
34,0.9204545617103577,0.9009804129600525,0.24195709824562073,0.2697744369506836
35,0.8238636255264282,0.9196078181266785,0.3259648382663727,0.2436385452747345
36,0.8958333134651184,0.9117646813392639,0.254410058259964,0.24525047838687897
37,0.9034090638160706,0.9127451181411743,0.22900019586086273,0.24699100852012634
38,0.8636363744735718,0.9166666865348816,0.3051338195800781,0.23882755637168884
39,0.9034090638160706,0.929411768913269,0.31032443046569824,0.2328510582447052
40,0.9431818127632141,0.9137254953384399,0.2390054166316986,0.2458416223526001
41,0.9261363744735718,0.9127451181411743,0.2543104887008667,0.23607994616031647
42,0.8920454382896423,0.9186274409294128,0.262369304895401,0.2283630222082138
43,0.8806818127632141,0.929411768913269,0.32112812995910645,0.22836393117904663
44,0.8920454382896423,0.9225490093231201,0.25897863507270813,0.23213167488574982
45,0.8636363744735718,0.9245098233222961,0.3150973916053772,0.22258183360099792
46,0.9204545617103577,0.9284313917160034,0.25579532980918884,0.21979843080043793
47,0.9375,0.9313725233078003,0.20944422483444214,0.22137664258480072
48,0.9047619104385376,0.9078431129455566,0.24435628950595856,0.23450565338134766
49,0.9261363744735718,0.9156862497329712,0.2368655800819397,0.2223501354455948
50,0.9147727489471436,0.9176470637321472,0.263467013835907,0.2238721251487732
51,0.8977272510528564,0.9343137145042419,0.27885690331459045,0.21299631893634796
52,0.8977272510528564,0.9352940917015076,0.32165801525115967,0.2113894373178482
53,0.9375,0.906862735748291,0.1819474846124649,0.23778735101222992
54,0.8958333134651184,0.927450954914093,0.2672981023788452,0.20744916796684265
55,0.8920454382896423,0.9323529601097107,0.26833832263946533,0.20737403631210327
56,0.8693181872367859,0.9029411673545837,0.3056696057319641,0.23866841197013855
57,0.8977272510528564,0.9323529601097107,0.25076496601104736,0.20553824305534363
58,0.9034090638160706,0.9343137145042419,0.2617184519767761,0.20585857331752777
59,0.9375,0.9137254953384399,0.16565437614917755,0.22065484523773193
60,0.9090909361839294,0.9372549057006836,0.23221038281917572,0.2093878984451294
61,0.9147727489471436,0.9333333373069763,0.22104479372501373,0.20033785700798035
62,0.9488636255264282,0.9343137145042419,0.20430094003677368,0.1987040489912033
63,0.9404761791229248,0.9352940917015076,0.21601659059524536,0.2103002369403839
64,0.9090909361839294,0.9333333373069763,0.2155105620622635,0.1975729912519455
65,0.9090909361839294,0.936274528503418,0.23025959730148315,0.19408726692199707
66,0.8693181872367859,0.936274528503418,0.2584654986858368,0.1940382421016693
67,0.8920454382896423,0.9303921461105347,0.2518465220928192,0.195150226354599
68,0.8806818127632141,0.9245098233222961,0.27579230070114136,0.20481884479522705
69,0.875,0.9313725233078003,0.2899589240550995,0.1910656839609146
70,0.8636363744735718,0.9372549057006836,0.33631631731987,0.2011813074350357
71,0.9204545617103577,0.9372549057006836,0.21384213864803314,0.18859122693538666
72,0.9791666865348816,0.929411768913269,0.17029543220996857,0.19231876730918884
